INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\6f\3aa487d4c8c073358e864f7c791bc56be50faa, Name=3aa487d4c8c073358e864f7c791bc56be50faa, size=530, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\79, Name=79, size=0, date=2017-11-30 13:58:01
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\79\3aa682b06ae032641abf70c5dfeade28c07c52, Name=3aa682b06ae032641abf70c5dfeade28c07c52, size=28, date=2017-11-30 13:58:01
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\83, Name=83, size=0, date=2017-11-30 13:52:03
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\83\ea7339f7eb9c3a2e49efaed78f361fcf34c020, Name=ea7339f7eb9c3a2e49efaed78f361fcf34c020, size=150, date=2017-11-30 13:52:03
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\97, Name=97, size=0, date=2017-11-23 16:37:56
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\97\80027ebe9b8573bfc7f85651aa728d3fbb8627, Name=80027ebe9b8573bfc7f85651aa728d3fbb8627, size=229, date=2017-11-23 16:37:56
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\98, Name=98, size=0, date=2017-11-30 13:58:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\98\a9a9c681c658db196a5ad6b7209e74d6411c48, Name=a9a9c681c658db196a5ad6b7209e74d6411c48, size=179, date=2017-11-30 13:58:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\9c, Name=9c, size=0, date=2017-11-23 16:37:10
